Designator,Mid X,Mid Y,Rotation,Layer
C3,162.306,-79.22,270.0,top
C4,164.592,-79.248,270.0,top
D1,157.48,-78.74,0.0,top
D2,158.242,-80.772,90.0,top
J1,152.4,-58.43,0.0,top
J2,187.96,-58.43,0.0,top
U1,170.18,-68.45,270.0,top
U2,181.41,-56.64,90.0,top
