Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,10uF,C412251
C2,0402,1,100nF,
C3,0402,1,470pF,
"J1, J2",PinHeader_1x09_P2.54mm_Vertical,2,Conn_01x09_Pin,
L1,0402,1,6.8nH,C963991
R1,0402,1,1k,
U1,GPSM-SMD_ATGM336H-TR,1,ATGM336H-5N31,C90770
U2,AT2659,1,AT2659,C92450
U4,IPEX-SMD_BWIPX-1-001E,1,BWU.FL-IPEX1,C5137195
