Designator,Mid X,Mid Y,Rotation,Layer
C1,167.64,-83.34,270.0,top
C2,165.58,-81.28,0.0,top
D1,165.608,-82.804,180.0,top
J1,157.48,-78.74,0.0,bottom
J2,182.88,-78.745,0.0,bottom
R1,164.846,-84.582,270.0,top
R2,167.894,-79.756,270.0,top
R3,175.768,-84.074,270.0,top
R4,174.498,-80.518,270.0,top
R5,169.418,-85.344,180.0,top
U1,171.59,-82.68,270.0,top
