Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2",PinHeader_1x09_P2.54mm_Vertical,2,Conn_01x09_Pin,
U1,GPSM-SMD_ATGM336H-TR,1,ATGM336H-5N31,C90770
