Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0402,2,10uF,C412251
C2,1206,1,100nF,C3839854
C3,1206,1,470pF,C3900342
C5,0805,1,22uF,C307529
"J1, J10, J11, J2, J3, J4, J5, J6, J7, J8, J9",SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,11,Conn_01x01_Pin,
L1,0402,1,6.8nH,C963991
U1,RA_08H-BREAKOUT,1,ATGM336H-5N31,
U2,AT2659,1,AT2659,C92450
U3,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,1,AMS1117-3.3_C347222,C347222
U4,IPEX-SMD_BWIPX-1-001E,1,BWU.FL-IPEX1,C5137195
